week_yr,comment,follow,like,message,share
2013-w08,8.3,75.0,13.9,2.8,0.0
2013-w09,11.2,56.8,20.4,8.5,3.1
2013-w10,8.6,57.9,22.4,8.6,2.5
2013-w11,7.2,65.6,17.7,6.0,3.6
2013-w12,6.3,67.9,18.5,4.9,2.4
2013-w13,9.1,54.3,18.5,9.4,8.7
2013-w14,8.9,60.8,14.1,13.3,2.9
2013-w15,8.3,57.6,16.0,10.8,7.3
2013-w16,12.2,59.0,16.5,7.6,4.7
2013-w17,8.1,55.0,17.2,15.0,4.7
2013-w18,13.4,49.3,13.4,15.5,8.4
2013-w19,8.8,58.0,17.9,10.4,4.9
2013-w20,10.7,56.9,14.7,12.4,5.3
2013-w21,10.6,53.3,15.9,11.0,9.3
2013-w22,10.8,49.5,18.5,10.8,10.4
2013-w23,5.3,60.1,18.6,10.1,5.9
2013-w24,6.3,55.6,12.6,20.8,4.8
2013-w25,4.7,67.8,13.7,10.0,3.8
2013-w26,5.0,54.1,12.8,19.7,8.3
2013-w27,8.5,55.7,19.9,6.8,9.1
2013-w28,7.3,68.0,16.3,4.5,3.9
2013-w29,5.4,41.9,25.0,21.6,6.1
2013-w30,8.2,48.5,25.1,8.2,9.9
2013-w31,5.1,54.6,21.3,12.0,6.9
2013-w32,4.0,74.3,10.9,6.3,4.6
2013-w33,6.0,44.7,26.1,9.2,14.1
2013-w34,6.1,54.4,15.4,17.5,6.6
2013-w35,7.4,59.3,18.2,10.5,4.7
2013-w36,3.6,68.9,12.0,9.6,6.0
2013-w37,5.0,70.0,7.0,15.0,3.0
2013-w38,7.8,51.7,25.9,6.9,7.8
2013-w39,3.9,59.2,17.1,7.9,11.8
2013-w40,5.1,70.7,11.1,5.1,8.1
2013-w41,6.5,49.1,25.9,10.2,8.3
2013-w42,7.9,47.5,20.9,16.5,7.2
2013-w43,6.7,70.0,11.1,8.9,3.3
2013-w44,2.1,64.8,17.9,9.0,6.2
2013-w45,7.0,66.9,15.9,7.6,2.5
2013-w46,5.5,61.5,24.8,5.5,2.8
2013-w47,4.1,49.6,25.6,9.1,11.6
2013-w48,4.3,67.5,14.5,9.4,4.3
2013-w49,5.0,53.2,28.4,2.8,10.6
2013-w50,8.7,51.4,21.7,10.1,8.0
2013-w51,5.0,63.0,21.0,1.7,9.2
2013-w52,2.2,80.0,13.3,2.2,2.2
2014-w00,7.9,81.0,7.9,1.6,1.6
2014-w01,11.2,49.1,20.7,9.5,9.5
2014-w02,9.6,59.6,14.9,7.4,8.5
2014-w03,4.7,56.2,19.3,12.5,7.3
2014-w04,7.4,58.8,20.6,6.6,6.6
2014-w05,10.4,41.7,28.1,9.4,10.4
2014-w06,3.2,41.5,26.6,17.0,11.7
2014-w07,9.2,53.4,20.6,6.9,9.9
2014-w08,1.0,70.2,21.2,2.9,4.8
2014-w09,6.7,50.7,22.7,9.3,10.7
2014-w10,3.4,67.8,13.6,3.4,11.9
2014-w11,12.3,29.8,31.6,12.3,14.0
2014-w12,5.3,42.1,28.9,9.2,14.5
2014-w13,9.8,54.3,23.9,2.2,9.8
2014-w14,0.9,68.8,16.5,4.6,9.2
2014-w15,4.2,61.7,16.8,3.6,13.8
2014-w16,12.2,37.8,25.6,9.8,14.6
2014-w17,5.7,56.3,18.4,6.9,12.6
2014-w18,1.3,27.0,29.6,21.7,20.4
2014-w19,4.6,35.4,29.2,11.5,19.2
2014-w20,3.5,37.6,36.5,3.5,18.8
2014-w21,2.1,52.3,24.1,8.7,12.9
2014-w22,2.3,48.1,26.4,10.1,13.2
2014-w23,3.4,39.0,30.1,8.9,18.5
2014-w24,9.3,40.2,29.9,3.7,16.8
2014-w25,3.0,61.9,20.1,0.0,14.9
2014-w26,5.9,58.8,17.6,7.4,10.3
2014-w27,1.7,27.6,35.3,7.8,27.6
2014-w28,3.0,39.3,28.1,8.1,21.5
2014-w29,5.7,25.3,29.9,16.1,23.0
2014-w30,5.6,23.6,32.6,15.7,22.5
2014-w31,7.7,19.2,20.2,43.3,9.6
2014-w32,0.9,41.9,24.8,15.4,17.1
2014-w33,3.5,25.9,28.2,23.5,18.8
2014-w34,5.0,27.7,27.7,21.0,18.5
2014-w35,2.5,31.2,37.5,13.8,15.0
2014-w36,5.0,55.7,20.0,2.1,17.1
2014-w37,0.0,32.1,28.4,19.3,20.2
2014-w38,0.7,56.6,13.8,18.6,10.3
