week_yr,comment,follow,like,message,share
2013-w09,1.7,95.3,2.6,0.4,0.0
2013-w10,0.0,89.9,0.0,10.1,0.0
2013-w11,3.9,77.6,5.3,11.8,1.3
2013-w12,5.9,82.4,0.0,11.8,0.0
2013-w13,0.0,46.4,3.6,46.4,3.6
2013-w14,7.0,34.9,11.6,44.2,2.3
2013-w15,0.0,66.7,0.0,33.3,0.0
2013-w16,3.7,85.2,3.7,7.4,0.0
2013-w17,0.0,73.1,7.7,11.5,7.7
2013-w18,0.0,35.7,0.0,64.3,0.0
2013-w19,20.0,23.3,33.3,13.3,10.0
2013-w20,19.0,19.0,9.5,33.3,19.0
2013-w21,14.3,17.9,21.4,25.0,21.4
2013-w22,7.1,71.4,10.7,1.8,8.9
2013-w23,11.8,11.8,29.4,17.6,29.4
2013-w24,7.5,13.2,17.0,47.2,15.1
2013-w25,10.7,35.7,28.6,10.7,14.3
2013-w26,15.8,7.9,23.7,28.9,23.7
2013-w27,16.0,24.0,32.0,8.0,20.0
2013-w28,6.2,62.5,15.6,3.1,12.5
2013-w29,16.7,0.0,50.0,0.0,33.3
2013-w30,0.0,39.3,28.6,3.6,28.6
2013-w31,1.0,88.6,6.7,1.0,2.9
2013-w32,5.9,17.6,35.3,17.6,23.5
2013-w33,1.4,87.9,5.0,2.8,2.8
2013-w34,2.3,67.4,9.3,14.0,7.0
2013-w35,14.3,52.4,14.3,14.3,4.8
2013-w36,12.5,12.5,37.5,0.0,37.5
2013-w37,0.0,72.7,9.1,9.1,9.1
2013-w38,30.8,38.5,30.8,0.0,0.0
2013-w39,14.8,44.4,22.2,3.7,14.8
2013-w40,13.0,0.0,26.1,47.8,13.0
2013-w41,11.1,22.2,33.3,11.1,22.2
2013-w42,0.0,0.0,50.0,0.0,50.0
2013-w43,0.0,33.3,0.0,66.7,0.0
2013-w44,0.0,11.1,55.6,0.0,33.3
2013-w45,42.9,0.0,42.9,14.3,0.0
2013-w46,25.0,50.0,25.0,0.0,0.0
2013-w47,0.0,87.3,5.5,3.6,3.6
2013-w48,0.0,92.6,3.7,0.0,3.7
2013-w50,0.0,50.0,16.7,16.7,16.7
2013-w51,0.0,33.3,33.3,0.0,33.3
2013-w52,0.0,100.0,0.0,0.0,0.0
2014-w01,11.1,11.1,38.9,16.7,22.2
2014-w03,0.0,20.0,40.0,20.0,20.0
2014-w04,0.0,0.0,40.0,20.0,40.0
2014-w05,0.0,0.0,41.7,16.7,41.7
2014-w06,0.0,0.0,50.0,0.0,50.0
2014-w07,0.0,37.5,31.2,0.0,31.2
2014-w09,0.0,20.0,40.0,0.0,40.0
2014-w10,0.0,0.0,50.0,0.0,50.0
2014-w11,0.0,0.0,50.0,16.7,33.3
2014-w12,4.8,61.9,14.3,4.8,14.3
2014-w13,14.3,0.0,42.9,0.0,42.9
2014-w14,0.0,0.0,55.6,11.1,33.3
2014-w15,0.0,0.0,33.3,33.3,33.3
2014-w16,40.0,20.0,20.0,0.0,20.0
