week_yr,comment,follow,like,message,share
2013-w08,1.1,89.2,8.6,0.0,1.1
2013-w09,2.6,76.6,7.7,11.1,2.0
2013-w10,0.0,76.7,20.0,0.0,3.3
2013-w11,0.0,84.2,10.5,2.6,2.6
2013-w12,0.0,83.3,4.2,12.5,0.0
2013-w13,9.5,59.5,14.3,14.3,2.4
2013-w14,3.8,46.2,23.1,26.9,0.0
2013-w15,0.0,83.3,6.7,6.7,3.3
2013-w16,18.8,56.2,18.8,6.2,0.0
2013-w17,22.2,66.7,11.1,0.0,0.0
2013-w18,0.0,92.0,4.0,0.0,4.0
2013-w19,7.1,64.3,21.4,0.0,7.1
2013-w20,23.5,29.4,35.3,5.9,5.9
2013-w21,6.7,60.0,13.3,13.3,6.7
2013-w22,0.0,60.0,20.0,0.0,20.0
2013-w23,0.0,75.0,25.0,0.0,0.0
2013-w24,11.1,44.4,11.1,0.0,33.3
2013-w25,7.1,50.0,21.4,0.0,21.4
2013-w26,8.3,33.3,58.3,0.0,0.0
2013-w27,0.0,71.4,14.3,0.0,14.3
2013-w28,0.0,50.0,50.0,0.0,0.0
2013-w30,0.0,73.3,20.0,0.0,6.7
2013-w31,0.0,100.0,0.0,0.0,0.0
2013-w32,0.0,62.5,25.0,0.0,12.5
2013-w33,20.0,60.0,20.0,0.0,0.0
2013-w34,0.0,0.0,50.0,0.0,50.0
2013-w35,0.0,75.0,25.0,0.0,0.0
2013-w36,0.0,100.0,0.0,0.0,0.0
2013-w37,0.0,87.5,12.5,0.0,0.0
2013-w38,12.5,62.5,12.5,0.0,12.5
2013-w39,33.3,66.7,0.0,0.0,0.0
2013-w40,0.0,100.0,0.0,0.0,0.0
2013-w41,0.0,66.7,33.3,0.0,0.0
2013-w42,0.0,100.0,0.0,0.0,0.0
2013-w43,0.0,87.5,8.3,0.0,4.2
2013-w44,0.0,100.0,0.0,0.0,0.0
2013-w45,0.0,83.3,16.7,0.0,0.0
2013-w46,0.0,66.7,33.3,0.0,0.0
2013-w47,0.0,60.0,40.0,0.0,0.0
2013-w48,0.0,9.1,72.7,0.0,18.2
2013-w49,0.0,66.7,33.3,0.0,0.0
2013-w50,0.0,50.0,50.0,0.0,0.0
2013-w52,0.0,100.0,0.0,0.0,0.0
2014-w01,0.0,50.0,37.5,0.0,12.5
2014-w02,0.0,66.7,16.7,0.0,16.7
2014-w03,0.0,66.7,33.3,0.0,0.0
2014-w05,0.0,50.0,50.0,0.0,0.0
2014-w06,0.0,100.0,0.0,0.0,0.0
2014-w07,0.0,100.0,0.0,0.0,0.0
2014-w09,0.0,100.0,0.0,0.0,0.0
2014-w10,0.0,80.0,20.0,0.0,0.0
2014-w11,33.3,66.7,0.0,0.0,0.0
2014-w12,0.0,100.0,0.0,0.0,0.0
2014-w13,14.3,71.4,14.3,0.0,0.0
2014-w14,0.0,50.0,50.0,0.0,0.0
2014-w15,0.0,60.0,40.0,0.0,0.0
2014-w16,0.0,100.0,0.0,0.0,0.0
2014-w17,0.0,90.0,10.0,0.0,0.0
2014-w18,0.0,50.0,50.0,0.0,0.0
2014-w19,0.0,100.0,0.0,0.0,0.0
2014-w20,0.0,100.0,0.0,0.0,0.0
2014-w21,0.0,100.0,0.0,0.0,0.0
2014-w22,0.0,62.5,25.0,0.0,12.5
2014-w23,0.0,66.7,33.3,0.0,0.0
2014-w24,0.0,50.0,50.0,0.0,0.0
2014-w25,0.0,100.0,0.0,0.0,0.0
2014-w27,0.0,50.0,16.7,0.0,33.3
2014-w28,0.0,100.0,0.0,0.0,0.0
2014-w29,0.0,100.0,0.0,0.0,0.0
2014-w30,0.0,16.7,33.3,0.0,50.0
2014-w31,0.0,50.0,50.0,0.0,0.0
2014-w32,0.0,100.0,0.0,0.0,0.0
2014-w35,0.0,100.0,0.0,0.0,0.0
2014-w36,0.0,75.0,25.0,0.0,0.0
2014-w37,0.0,100.0,0.0,0.0,0.0
2014-w38,0.0,100.0,0.0,0.0,0.0
2014-w39,0.0,100.0,0.0,0.0,0.0
2014-w41,0.0,100.0,0.0,0.0,0.0
2014-w42,0.0,100.0,0.0,0.0,0.0
2014-w43,0.0,60.0,20.0,0.0,20.0
2014-w44,0.0,50.0,50.0,0.0,0.0
2014-w46,100.0,0.0,0.0,0.0,0.0
2014-w48,33.3,66.7,0.0,0.0,0.0
2014-w49,0.0,71.4,28.6,0.0,0.0
2014-w50,0.0,16.7,83.3,0.0,0.0
2014-w51,0.0,100.0,0.0,0.0,0.0
2014-w52,0.0,0.0,100.0,0.0,0.0
2015-w00,0.0,100.0,0.0,0.0,0.0
2015-w03,0.0,100.0,0.0,0.0,0.0
2015-w04,0.0,100.0,0.0,0.0,0.0
2015-w05,0.0,100.0,0.0,0.0,0.0
2015-w08,0.0,100.0,0.0,0.0,0.0
2015-w11,0.0,40.0,60.0,0.0,0.0
2015-w12,7.7,30.8,46.2,0.0,15.4
2015-w13,0.0,50.0,50.0,0.0,0.0
2015-w14,0.0,75.0,25.0,0.0,0.0
2015-w16,0.0,100.0,0.0,0.0,0.0
2015-w18,0.0,28.6,71.4,0.0,0.0
2015-w20,0.0,25.0,75.0,0.0,0.0
2015-w23,0.0,100.0,0.0,0.0,0.0
2015-w24,0.0,96.2,3.8,0.0,0.0
2015-w25,20.0,40.0,20.0,0.0,20.0
