,week_yr,total,week_yr_date
0,2013-w08,36,2013-02-25
1,2013-w09,553,2013-03-04
2,2013-w10,523,2013-03-11
3,2013-w11,418,2013-03-18
4,2013-w12,411,2013-03-25
5,2013-w13,416,2013-04-01
6,2013-w14,347,2013-04-08
7,2013-w15,288,2013-04-15
8,2013-w16,278,2013-04-22
9,2013-w17,320,2013-04-29
10,2013-w18,335,2013-05-06
11,2013-w19,307,2013-05-13
12,2013-w20,225,2013-05-20
13,2013-w21,227,2013-05-27
14,2013-w22,222,2013-06-03
15,2013-w23,188,2013-06-10
16,2013-w24,207,2013-06-17
17,2013-w25,211,2013-06-24
18,2013-w26,218,2013-07-01
19,2013-w27,176,2013-07-08
20,2013-w28,178,2013-07-15
21,2013-w29,148,2013-07-22
22,2013-w30,171,2013-07-29
23,2013-w31,216,2013-08-05
24,2013-w32,175,2013-08-12
25,2013-w33,284,2013-08-19
26,2013-w34,228,2013-08-26
27,2013-w35,258,2013-09-02
28,2013-w36,167,2013-09-09
29,2013-w37,200,2013-09-16
30,2013-w38,116,2013-09-23
31,2013-w39,76,2013-09-30
32,2013-w40,99,2013-10-07
33,2013-w41,108,2013-10-14
34,2013-w42,139,2013-10-21
35,2013-w43,90,2013-10-28
36,2013-w44,145,2013-11-04
37,2013-w45,157,2013-11-11
38,2013-w46,109,2013-11-18
39,2013-w47,121,2013-11-25
40,2013-w48,117,2013-12-02
41,2013-w49,141,2013-12-09
42,2013-w50,138,2013-12-16
43,2013-w51,119,2013-12-23
44,2013-w52,45,2013-12-30
45,2014-w00,63,2013-12-30
46,2014-w01,116,2014-01-06
47,2014-w02,94,2014-01-13
48,2014-w03,192,2014-01-20
49,2014-w04,136,2014-01-27
50,2014-w05,96,2014-02-03
51,2014-w06,94,2014-02-10
52,2014-w07,131,2014-02-17
53,2014-w08,104,2014-02-24
54,2014-w09,75,2014-03-03
55,2014-w10,59,2014-03-10
56,2014-w11,114,2014-03-17
57,2014-w12,76,2014-03-24
58,2014-w13,92,2014-03-31
59,2014-w14,109,2014-04-07
60,2014-w15,167,2014-04-14
61,2014-w16,82,2014-04-21
62,2014-w17,87,2014-04-28
63,2014-w18,152,2014-05-05
64,2014-w19,130,2014-05-12
65,2014-w20,85,2014-05-19
66,2014-w21,241,2014-05-26
67,2014-w22,129,2014-06-02
68,2014-w23,146,2014-06-09
69,2014-w24,107,2014-06-16
70,2014-w25,134,2014-06-23
71,2014-w26,68,2014-06-30
72,2014-w27,116,2014-07-07
73,2014-w28,135,2014-07-14
74,2014-w29,87,2014-07-21
75,2014-w30,89,2014-07-28
76,2014-w31,104,2014-08-04
77,2014-w32,117,2014-08-11
78,2014-w33,85,2014-08-18
79,2014-w34,119,2014-08-25
80,2014-w35,80,2014-09-01
81,2014-w36,140,2014-09-08
82,2014-w37,109,2014-09-15
83,2014-w38,145,2014-09-22
84,2014-w39,77,2014-09-29
85,2014-w40,67,2014-10-06
86,2014-w41,78,2014-10-13
87,2014-w42,100,2014-10-20
88,2014-w43,51,2014-10-27
89,2014-w44,232,2014-11-03
90,2014-w45,90,2014-11-10
91,2014-w46,96,2014-11-17
92,2014-w47,75,2014-11-24
93,2014-w48,163,2014-12-01
94,2014-w49,102,2014-12-08
95,2014-w50,59,2014-12-15
96,2014-w51,72,2014-12-22
97,2014-w52,34,2014-12-29
98,2015-w00,17,2014-12-29
99,2015-w01,89,2015-01-05
100,2015-w02,151,2015-01-12
101,2015-w03,77,2015-01-19
102,2015-w04,96,2015-01-26
103,2015-w05,67,2015-02-02
104,2015-w06,109,2015-02-09
105,2015-w07,69,2015-02-16
106,2015-w08,153,2015-02-23
107,2015-w09,122,2015-03-02
108,2015-w10,198,2015-03-09
109,2015-w11,107,2015-03-16
110,2015-w12,99,2015-03-23
111,2015-w13,132,2015-03-30
112,2015-w14,163,2015-04-06
113,2015-w15,129,2015-04-13
114,2015-w16,128,2015-04-20
115,2015-w17,184,2015-04-27
116,2015-w18,304,2015-05-04
117,2015-w19,148,2015-05-11
118,2015-w20,155,2015-05-18
119,2015-w21,118,2015-05-25
120,2015-w22,171,2015-06-01
121,2015-w23,171,2015-06-08
122,2015-w24,177,2015-06-15
123,2015-w25,161,2015-06-22
124,2015-w26,71,2015-06-29
125,2015-w27,39,2015-07-06
126,2015-w28,11,2015-07-13
