,week_yr,total
0,2013-w08,93
1,2013-w09,350
2,2013-w10,30
3,2013-w11,38
4,2013-w12,24
5,2013-w13,42
6,2013-w14,26
7,2013-w15,30
8,2013-w16,16
9,2013-w17,9
10,2013-w18,25
11,2013-w19,14
12,2013-w20,17
13,2013-w21,15
14,2013-w22,5
15,2013-w23,4
16,2013-w24,9
17,2013-w25,14
18,2013-w26,12
19,2013-w27,7
20,2013-w28,2
21,2013-w30,15
22,2013-w31,9
23,2013-w32,8
24,2013-w33,5
25,2013-w34,2
26,2013-w35,4
27,2013-w36,3
28,2013-w37,8
29,2013-w38,8
30,2013-w39,3
31,2013-w40,1
32,2013-w41,3
33,2013-w42,4
34,2013-w43,24
35,2013-w44,2
36,2013-w45,6
37,2013-w46,6
38,2013-w47,10
39,2013-w48,11
40,2013-w49,3
41,2013-w50,2
42,2013-w52,1
43,2014-w01,8
44,2014-w02,6
45,2014-w03,3
46,2014-w05,4
47,2014-w06,1
48,2014-w07,2
49,2014-w09,1
50,2014-w10,5
51,2014-w11,3
52,2014-w12,2
53,2014-w13,7
54,2014-w14,4
55,2014-w15,5
56,2014-w16,1
57,2014-w17,10
58,2014-w18,2
59,2014-w19,1
60,2014-w20,2
61,2014-w21,3
62,2014-w22,8
63,2014-w23,3
64,2014-w24,2
65,2014-w25,3
66,2014-w27,6
67,2014-w28,4
68,2014-w29,1
69,2014-w30,6
70,2014-w31,2
71,2014-w32,1
72,2014-w35,3
73,2014-w36,4
74,2014-w37,1
75,2014-w38,1
76,2014-w39,1
77,2014-w41,1
78,2014-w42,3
79,2014-w43,5
80,2014-w44,2
81,2014-w46,1
82,2014-w48,3
83,2014-w49,14
84,2014-w50,6
85,2014-w51,1
86,2014-w52,1
87,2015-w00,1
88,2015-w03,2
89,2015-w04,3
90,2015-w05,1
91,2015-w08,2
92,2015-w11,5
93,2015-w12,13
94,2015-w13,2
95,2015-w14,4
96,2015-w16,1
97,2015-w18,7
98,2015-w20,4
99,2015-w23,2
100,2015-w24,26
101,2015-w25,5
